team_id,rating,wins,losses,last_match_time,name,tag,logo_url
8597391,1188.92,102,91,1677074355,D2 Hustlers,Hustler,https://steamusercontent-a.akamaihd.net/ugc/5095291632880656070/F4E9C7842181ACB2AF195248399F08A15AAAC5C9/
7653080,1184.4,450,423,1671628816,Yangon Galacticos,YG,https://steamusercontent-a.akamaihd.net/ugc/1772699046724205365/4B26D0595EF6D331640462985C7C6E01E1BA63AD/
8376426,1167.02,144,128,1675048053,B8,B8,https://steamusercontent-a.akamaihd.net/ugc/2030594077477371362/8D84BF07D726E47655BD7CED1B6CFB053B97B672/
7453020,1166.16,257,340,1675411183,Aster.Aries,Aries,https://steamusercontent-a.akamaihd.net/ugc/1021697620249691876/0C6C8F47D723EF0B110292609BFDB64EB7B9553C/
5014799,1160.99,379,367,1675858617,Nemiga Gaming,Nemiga,https://steamusercontent-a.akamaihd.net/ugc/1761446291384253796/DDD9E9CE3AC50467578944F685C4BD84ED0285B7/
36,1158.85,1103,926,1675004630,Natus Vincere,NAVI,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/36.png
7732977,1155.74,393,268,1677668930,BOOM Esports,BOOM,https://steamusercontent-a.akamaihd.net/ugc/768365068750604173/EF3216F4B02A0DA2327AC3190A369349C7BF3A24/
7441136,1154.85,181,159,1608415239,beastcoast,bc,https://steamusercontent-a.akamaihd.net/ugc/773981410527259604/8B88726CBCA1E1F5FC3368D49BCF84F609B138FF/
8360138,1151.53,449,392,1677233669,Neon Esports,neon,https://steamusercontent-a.akamaihd.net/ugc/1905612771137210708/67688ED3000B1B2140DCDD96275E114F3F9F3BC7/
1846548,1142.55,160,190,1511815094,HellRaisers,HR,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1846548.png
8375259,1131.95,125,141,1676341151,Infinity,Infinity,https://steamusercontent-a.akamaihd.net/ugc/2012577143832299242/0B29AFE6D9B224CB4EDB33A07AAC0D3FD19A00A6/
8384158,1114.85,22,14,1625777067,Into The Breach,ITB,https://steamusercontent-a.akamaihd.net/ugc/1795223008077512746/B283A962A0FFF8636A3DC829C3F93BA4C9FEE214/
6409189,1112.06,191,156,1665166160,Team Empire Hope,EmpireH,https://steamusercontent-a.akamaihd.net/ugc/788624714192129581/94E7F21983B7BB2007C0273EB9A447386433DB36/
8545488,1111.85,100,92,1677073400,cybercats,CC,https://steamusercontent-a.akamaihd.net/ugc/1824528943478575817/657E92D2BF823497ED5C67BD7C48EF86CEF7A962/
7408845,1102.05,218,199,1636370173,Execration,XctN,https://steamusercontent-a.akamaihd.net/ugc/1479947126466883706/805E24B193B5C67C2B505C8808AD7E56DA302273/
8937275,1092.54,6,3,1670509044,Lilgun,lg,
8070280,1091.92,12,6,1610309701,Into The Breach,ITB,https://steamusercontent-a.akamaihd.net/ugc/1797474801463672859/93D8F6BCFB2B0EA85DDC501C9C4B5A345F120E44/
8359797,1088.86,25,23,1621948945,Level UP,lvlUP,https://steamusercontent-a.akamaihd.net/ugc/1733296801103989540/D20738550A0F11285E98FFCF44DFF92438FB27C5/
7079109,1084.86,22,34,1592098426,beastcoast,bc,https://steamusercontent-a.akamaihd.net/ugc/824632623398435452/85EA3FC27708076F8ACC2E5B70E25EEC72B09CC6/
8937383,1083.6,9,4,1671128179,Mind Games,MG,
8944582,1083.28,23,22,1673596893,Lilgun,lg,https://steamusercontent-a.akamaihd.net/ugc/2031719436235354148/316D93ECBF4805E1EF70E43D4F15B0DD08C9E0C8/
8124688,1080.1,391,346,1677646464,LBZS,LBZS,https://steamusercontent-a.akamaihd.net/ugc/2024966117774012159/0641C065D63A8DA43E27D33A6D9EDFFA83453174/
8620831,1074.82,14,14,1677336602,Rune Eaters,RE,https://steamusercontent-a.akamaihd.net/ugc/1817772904809152078/BDF26F2969C66C9C945414EE57C866E1743B6086/
5065748,1069.67,74,81,1529524041,Infamous,Infamous,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/5065748.png
8680612,1067.98,127,130,1676743543,Dreamers Esports,DRE,https://steamusercontent-a.akamaihd.net/ugc/1990058421553897788/FB2DB866A26D1726E28A33B2BDA6E641CF75465B/
7375761,1065.96,5,1,1569183794,HellRaisers,HR,https://steamusercontent-a.akamaihd.net/ugc/767225215024179562/6C8FEB4B51D9738B69903834B38AD2DD510A2A24/
7188686,1063.76,11,6,1566058821,Yangon Galacticos,YG,https://steamusercontent-a.akamaihd.net/ugc/776222901726348542/E7084EC04CFD0423EF81C3633217117B0FA11384/
