p_id,Gamer_ID,name,country,Region,team_name,role
81,Forev,Lee Sang-don,South Korea,Other,Bleed Esports,Coach
82,Masaros,Natthaphon Ouanphakdee,Thailand,Southeast Asia,Bleed Esports,Offlaner
83,Kordan,Teng Tjin Yao,Singapore,Southeast Asia,Bleed Esports,Solo Middle
84,PlayHard,Prieme Ejay Banquil,Philippines,Southeast Asia,Bleed Esports,Support
85,DuBu,Kim Doo-young,South Korea,Other,Bleed Esports,Support
86,Natsumi-,John Anthony Vargas,Philippines,Southeast Asia,BOOM Esports,Carry
87,Mushi,Chai Yee Fung,Malaysia,Southeast Asia,BOOM Esports,Coach
88,Fbz,Saieful Ilham,Indonesia,Southeast Asia,BOOM Esports,Offlaner
89,Yopaj,Erin Jasper Ferrer,Philippines,Southeast Asia,BOOM Esports,Solo Middle
90,Xepher,Kenny Deo,Indonesia,Southeast Asia,BOOM Esports,Support
91,xNova,Yap Jian Wei,Malaysia,Southeast Asia,BOOM Esports,Support
92,Yin,Fan Qihua,China,China,C5Gaming,Solo Middle
93,Xtt,Xu Xuntao,China,China,CAVALRY,Coach
94,DoubleKing,Niels Derek Cossio,United States,North America,CDUB Esports,Carry
95,AfrOmoush,Mohammad Khalil Abu Al Eis,Jordan,Other,CDUB Esports,Support
96,okcya,Niklas Koskinen,Finland,Europe,Chicken Fighters,Coach
97,Joraal,Sullivan Carlotti,France,Europe,Clowns,Carry
98,alberkaaa,Albert Chernoivanov,Russia,Europe,cybercats,Carry
99,Fervian,Evgeniy Aksyonov,Russia,Europe,cybercats,Coach
100,Forcemajor,Maksim Meretskii,Russia,Europe,cybercats,Support
101,Shad,Indji Lub,Netherlands,Europe,D2 Hustlers,Carry
102,Davai Lama,Cedric Deckmyn,Belgium,Europe,D2 Hustlers,Offlaner
103,Flash,Niamtu Angel,Romania,Europe,D2 Hustlers,Support
104,Alexxo,Aleksandar Diklić,Serbia,Europe,D2 Hustlers,Support
105,DkFogas,Vladislav Frolov,Russia,Europe,Darkside,Offlaner
106,re1bl,Maxim Afanasyev,Russia,Europe,Darkside,Solo Middle
107,RodjER,Vladimir Nikogosian,Russia,Europe,Darkside,Support
108,SoNNeikO,Akbar Butaev,Russia,Europe,Darkside,Support
109,idc,Hou Xiaomeng,China,China,Dawn Gaming,Carry
110,Ms,Yang Yongjie,China,China,Dawn Gaming,Carry
111,Son Goku,Lin Shiyang,China,China,Dawn Gaming,Offlaner
112,ex,Liu Shaojun,China,China,Dawn Gaming,Solo Middle
113,Docres,He Ercong,China,China,Dawn Gaming,Support
114,Maybe Next Time,Verros Apostolos,Greece,Europe,DGG Esports,Support
115,L0lik_O,Serafim Savelyev,Russia,Europe,Digital Company,Offlaner
